"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4479","Edit course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1298","Check displaying of empty courses list","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","2159","Create course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1420","Registration with correct email, username and password","LMS system","2026-06-04","passed","2026-06-04","Registration","Authentication","",""
"","1545","User login with wrong email or password:   ","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1969","Navigation from login page to registration page","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1227","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1948","Check displaying of dashboard page","LMS system","2026-06-04","passed","2026-06-04","Dashboard","Dashboard","",""
"","1477","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","2406","User login with correct email and password","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
